Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","288","Ghana","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","2022","t","176.94","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01233","Eggplants (aubergines)","2022","2022","t","53640.81","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21511.01","Fat of pigs","2022","2022","t","2515.82","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2022","2022","t","75704.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01657","Ginger, raw","2022","2022","t","97.11","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1085.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","23913","Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg","2022","2022","t","6581.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","2162","Groundnut oil","2022","2022","t","78752.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","0142","Groundnuts, excluding shelled","2022","2022","t","611000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","51051.36","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","1245155","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01499.01","Karite nuts (sheanuts)","2022","2022","t","34600.18","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01379.02","Kola nuts","2022","2022","t","25037.38","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01322","Lemons and limes","2022","2022","t","48385.52","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","0112","Maize (corn)","2022","2022","t","3255718","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01316","Mangoes, guavas and mangosteens","2022","2022","t","101557","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21700.02","Margarine and shortening","2022","2022","t","7644.03","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","30000","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","64268.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","34020.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","28347.24","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","26178.22","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","0118","Millet","2022","2022","t","196308","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01950.01","Natural rubber in primary forms","2022","2022","t","117000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","0117","Oats","2022","2022","t","37.5","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","21691.14","Oil of palm kernel","2022","2022","t","61600","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01491.01","Oil palm fruit","2022","2022","t","2900000","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01239.01","Okra","2022","2022","t","66920.04","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","t","147857.03","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01323","Oranges","2022","2022","t","708668.19","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01241.90","Other beans, green","2022","2022","t","25191.08","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01359.90","Other fruits, n.e.c.","2022","2022","t","68480.42","I","Value imputed by a receiving agency",""
